wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag
Thor,56.33,7.68,285.0,Denmark,2027.0,1080.0,Siemens Gamesa SG 14-236 DD,Monopile,27.0,22.0,DKK 15.5 billion,,,,,,,,,,,,25.0,Unknown,9.621305141402026,9.0,2074132499.9999998,2074132499.9999998,recent
Bornholm Energy Island,54.7,14.65,250.0,Denmark,2030.0,3000.0,,,,15.0,EUR 9 billion,,,,,,,,,,,,25.0,Unknown,9.357912001606353,9.0,9000000000.0,9000000000.0,recent
Lillgrund,55.51,12.78,10.0,Sweden,2007.0,110.0,Siemens SWT-2.3-93,Gravity-based,6.0,7.0,SEK 1.8 billion,,,,,,,,,0.34,,,25.0,Unknown,9.253989924305428,9.0,199107000.0,290061302.1284924,indexed_19y
Karehamn,56.96,16.98,7.0,Sweden,2013.0,48.0,Vestas V112-3.0MW,Gravity-based,20.5,7.0,EUR 120 million,,,,,,,,,0.47,,,25.0,Unknown,8.47002888074703,9.0,120000000.0,155232795.65445557,indexed_13y
Hywind Scotland,57.48,-1.35,4.0,Norway,2017.0,30.0,Siemens SWT-6.0-154,Floating spar buoy,107.5,29.0,GBP 264 million,,,,,,,,,0.54,,,25.0,Unknown,9.784823766092082,9.0,308346456.0,368502558.12662643,indexed_9y
Hywind Tampen,61.329972,2.7,,Norway,2023.0,88.0,Siemens Gamesa SG 8.0-167 DD,Floating concrete spar buoy,280.0,140.0,NOK 7.4 billion,,,,,,,,,0.584,,,25.0,Unknown,9.437192045521014,9.0,703836200.0,703836200.0,recent
Egmond aan Zee (OWEZ),52.5894,4.41,,Netherlands,2007.0,108.0,Vestas V90-3.0MW,Monopile,16.0,14.0,EUR 200 million,,,,,,,,,,,,20.0,Unknown,9.051701051641816,9.0,200000000.0,291362234.50555974,indexed_19y
Prinses Amalia,52.5894,4.2064,,Netherlands,2008.0,120.0,Vestas V80-2.0MW,Monopile,21.5,23.0,EUR 383 million,,,,,,,,,,,,20.0,Unknown,9.107113288259008,9.0,383000000.0,547018312.8217127,indexed_18y
Luchterduinen,52.4167,4.17,,Netherlands,2015.0,129.0,Vestas V112-3.0MW,Monopile,21.0,23.0,EUR 450 million,,,,,,,,,,,,25.0,Unknown,9.119384616904178,9.0,450000000.0,559518438.7775936,indexed_11y
Gemini,54.0333,6.02,,Netherlands,2017.0,600.0,Siemens SWT-4.0-130,Monopile,32.0,85.0,EUR 2.8 billion,,,,,,,,,,,,25.0,Unknown,9.92083412449738,9.0,2800000000.0,3346259192.142471,indexed_9y
Borssele III and IV,51.705,2.98,,Netherlands,2021.0,731.5,MHI Vestas V164-9.5MW,Monopile,27.0,22.0,EUR 1.3 billion,,,,,,,,,,,,25.0,Unknown,8.98849136216238,9.0,1300000000.0,1300000000.0,recent
Hollandse Kust Noord,52.65389,4.25,,Netherlands,2023.0,759.0,Siemens Gamesa SG 11.0-200 DD,Monopile,21.0,18.5,EUR 1.4 billion,,,,,,,,,,,,25.0,Unknown,9.106595534140299,9.0,1400000000.0,1400000000.0,recent
C-Power,51.55167,2.97,,Belgium,2013.0,325.0,Senvion 5M / Senvion 6.15M,Gravity-based / Jacket,19.5,30.0,EUR 1.3 billion,,,,,,,,,,,,25.0,Unknown,8.914059079389649,9.0,1300000000.0,1681688619.5899355,indexed_13y
Belwind,51.67,2.8,,Belgium,2010.0,171.0,Vestas V90-3.0MW / Alstom Haliade 150-6MW,Monopile,27.5,46.0,EUR 614 million,,,,,,,,,,,,25.0,Unknown,9.025022580958334,9.0,614000000.0,842890422.925636,indexed_16y
Northwind,51.619,2.9,,Belgium,2014.0,216.0,Vestas V112-3.0MW,Monopile,22.5,37.0,EUR 883 million,,,,,,,,,,,,25.0,Unknown,8.97912614379583,9.0,883000000.0,1119857504.5987277,indexed_12y
Nobelwind,51.66333333,2.83,,Belgium,2017.0,165.0,MHI Vestas V112-3.3MW,Monopile,32.0,47.0,EUR 655 million,,,,,,,,,,,,25.0,Unknown,9.02045001269648,9.0,655000000.0,782785632.4476137,indexed_9y
Rentel,51.59111,2.94,,Belgium,2018.0,309.0,Siemens SWT-7.0-154,Monopile,29.0,34.0,EUR 1.1 billion,,,,,,,,,,,,25.0,Unknown,8.951202423131521,9.0,1100000000.0,1288825319.1024923,indexed_8y
Norther,51.528056,3.02,,Belgium,2019.0,370.0,MHI Vestas V164-8.4MW,Monopile,33.0,23.0,EUR 1.2 billion,,,,,,,,,0.431,,,25.0,Unknown,8.913402380539296,9.0,1200000000.0,1378422801.179136,indexed_7y
Northwester 2,51.6875,2.76,,Belgium,2020.0,219.0,MHI Vestas V164-9.5MW,Monopile,40.0,52.0,EUR 700 million,,,,,,,,,,,,25.0,Unknown,9.044524122452062,9.0,700000000.0,788313693.4848001,indexed_6y
SeaMade,51.721,2.79,,Belgium,2020.0,487.0,Siemens Gamesa SG 8.0-167 DD,Monopile,39.0,47.0,EUR 1.3 billion,,,,,,,,,,,,25.0,Unknown,9.037444126316426,9.0,1300000000.0,1464011145.0432,indexed_6y
Saint-Nazaire,47.13,-2.78,,France,2022.0,480.0,GE Haliade 150-6MW,Monopile,18.5,16.0,EUR 2 billion,,,,,,,,,,,,25.0,Unknown,8.57883316765928,9.0,2000000000.0,2000000000.0,recent
Saint-Brieuc,48.72,-2.76,,France,2024.0,496.0,Siemens Gamesa SG 8.0-167 DD,Jacket,30.0,16.3,EUR 2.4 billion,,,,,,,,,,,,25.0,Unknown,8.25744959581511,9.0,2400000000.0,2400000000.0,recent
Fecamp,49.85,0.18,,France,2024.0,497.0,Siemens Gamesa SWT-7.0-154,Gravity-based,27.5,18.5,EUR 2 billion,,,,,,,,,,,,25.0,Unknown,8.577062122447261,9.0,2000000000.0,2000000000.0,recent
Courseulles-sur-Mer,49.45,-0.51,,France,2027.0,448.0,Siemens Gamesa SWT-7.0-154,Monopile,26.5,16.0,EUR 2 billion,,,,,,,,,,,,25.0,Unknown,8.651976204978395,9.0,2000000000.0,2000000000.0,recent
Dieppe-Le Treport,50.12,1.3,,France,2027.0,500.0,Siemens Gamesa SG 8.0 MW,Jacket,19.5,15.5,EUR 2.7 billion,,,,,,,,,,,,25.0,Unknown,8.496253984502358,9.0,2700000000.0,2700000000.0,recent
